Reference, Value, Footprint, Datasheet
"D51","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW52","SW_SPST","keyswitches:PG1350_rotatable",""
"D52","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW53","SW_SPST","keyswitches:PG1350_rotatable",""
"D53","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW54","SW_SPST","keyswitches:PG1350_rotatable",""
"D54","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW55","SW_SPST","keyswitches:PG1350_rotatable",""
"D55","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW56","SW_SPST","keyswitches:PG1350_rotatable",""
"D56","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW57","SW_SPST","keyswitches:PG1350_rotatable",""
"D57","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW58","SW_SPST","keyswitches:PG1350_rotatable",""
"D58","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW59","SW_SPST","keyswitches:PG1350_rotatable",""
"D59","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW60","SW_SPST","keyswitches:PG1350_rotatable",""
"D60","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW61","SW_SPST","keyswitches:PG1350_rotatable",""
"D61","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW62","SW_SPST","keyswitches:PG1350_rotatable",""
"D62","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW63","SW_SPST","keyswitches:PG1350_rotatable",""
"D63","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW64","SW_SPST","keyswitches:PG1350_rotatable",""
"D64","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW65","SW_SPST","keyswitches:PG1350_rotatable",""
"D65","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW66","SW_SPST","keyswitches:PG1350_rotatable",""
"D66","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW67","SW_SPST","keyswitches:PG1350_rotatable",""
"D67","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW68","SW_SPST","keyswitches:PG1350_rotatable",""
"D68","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW69","SW_SPST","keyswitches:PG1350_rotatable",""
"D69","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW70","SW_SPST","keyswitches:PG1350_rotatable",""
"D70","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"U1","Teensy3.6","teensy:Teensy35_36",""
"J2","ER-TFT035","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","~"
"BT1","Battery_Cell","BC-2003:BC-2003","~"
"J1","USB_A","digikey-footprints:USB_A_Female_UE27AC54100"," ~"
"SW71","PGM","EVQPSL:EVQPSL",""
"SW72","RST","EVQPSL:EVQPSL",""
"R1","2k2","digikey-footprints:0603","~"
"R2","2k2","digikey-footprints:0603","~"
"J4","ER-TFT032","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","~"
"J5","amp","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~"
"Q1","Q_Photo_NPN","LED_THT:LED_D5.0mm_FlatTop","~"
"R10","10k","digikey-footprints:0603","~"
"J3","expansion","Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Vertical","~"
"J6","TOUCH_T","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","~"
